id;Name;LocalName
AF;Afrikaans;Afrikaans
AL;Albanian;Shqip
AR;Arabic;لغة عربية
AZ;Azerbaijani;Azərbaycanca
BR;Portuguese;Português brasileiro
BU;Bulgarian;Български
CS;Czech;Čeština
DA;Danish;Dansk
DE;German;Deutsch
EN;English;English
ES;Spanish;Español
FI;Finnish;Suomi
FR;French;Français
GR;Greek;Ελληνικά
HE;Hebrew;עברית
HR;SerboCroatian;Hrvatski
HU;Hungarian;Magyar
ID;Indonesian;Indonesia
IS;Icelandic;Íslenska
IT;Italian;Italiano
JP;Japanase;日本語
KK;Kazakh;Қазақша
LT;Lithuanian;Lietuvių Kalba
LV;Latvian;Latviešu valoda
MA;Malay;Bahasa Melayu
NL;Dutch;Nederlands
NO;Norwegian;Bokmål
PL;Polish;Polski
PT;PortuguesePortugual;Português
RO;Romanian;Română
RU;Russian;Русский
SE;Swedish;Svenska
SK;Slovak;Slovenský
SL;Slovenian;Slovenščina
TR;Turkish;Türkçe
UK;Ukrainian;Українська